ELF code,Country ELF,Country,Jurisdiction,Entity legal form local name,Language,Entity legal form transliterated name,Abbreviation,Source
LZFR,Australia,Australia,,Public Company limited by guarantee,English,Public Company limited by guarantee,Ltd.,ELF v1.5
LZFR,Australia,Australia,,Public Company limited by guarantee,English,Public Company limited by guarantee,Limited,ELF v1.5
PQHL,Australia,Australia,,No Liability Company,English,No Liability Company,No Liability,ELF v1.5
PQHL,Australia,Australia,,No Liability Company,English,No Liability Company,NL,ELF v1.5
Q82Q,Australia,Australia,,Unlimited Proprietary Company,English,Unlimited Proprietary Company,Proprietary,ELF v1.5
Q82Q,Australia,Australia,,Unlimited Proprietary Company,English,Unlimited Proprietary Company,PTY,ELF v1.5
Q82Q,Australia,Australia,,Unlimited Proprietary Company,English,Unlimited Proprietary Company,PTY.,ELF v1.5
Q82Q,Australia,Australia,,Unlimited Proprietary Company,English,Unlimited Proprietary Company,Pty.,ELF v1.5
Q82Q,Australia,Australia,,Unlimited Proprietary Company,English,Unlimited Proprietary Company,Pty Ltd,ELF v1.5
R4KK,Australia,Australia,,Public Company limited by shares,English,Public Company limited by shares,Ltd,ELF v1.5
R4KK,Australia,Australia,,Public Company limited by shares,English,Public Company limited by shares,Ltd.,ELF v1.5
R4KK,Australia,Australia,,Public Company limited by shares,English,Public Company limited by shares,Limited,ELF v1.5
TXVC,Australia,Australia,,Limited Proprietary Company,English,Limited Proprietary Company,Proprietary Limited,ELF v1.5
TXVC,Australia,Australia,,Limited Proprietary Company,English,Limited Proprietary Company,Proprietary Ltd,ELF v1.5
TXVC,Australia,Australia,,Limited Proprietary Company,English,Limited Proprietary Company,Pty Limited,ELF v1.5
TXVC,Australia,Australia,,Limited Proprietary Company,English,Limited Proprietary Company,PTY LTD,ELF v1.5
TXVC,Australia,Australia,,Limited Proprietary Company,English,Limited Proprietary Company,PTY. LTD.,ELF v1.5
TXVC,Australia,Australia,,Limited Proprietary Company,English,Limited Proprietary Company,Pty. Ltd.,ELF v1.5
TXVC,Australia,Australia,,Limited Proprietary Company,English,Limited Proprietary Company,Pty Ltd,ELF v1.5
TXVC,Australia,Australia,,Limited Proprietary Company,English,Limited Proprietary Company,Pty Ltd.,ELF v1.5
XHCV,Australia,Australia,,Indigenous Corporation,English,Indigenous Corporation,Indigenous corporation,ELF v1.5
XHCV,Australia,Australia,,Indigenous Corporation,English,Indigenous Corporation,RNTBC,ELF v1.5
1NOX,Austria,Austria,,Sonstiger Rechtsträger,German,Sonstiger Rechtsträger,Sonstiger Rechtsträger,ELF v1.5
5WWO,Austria,Austria,,Privatstiftung,German,Privatstiftung,Privatstiftung,ELF v1.5
69H1,Austria,Austria,,Europäische Genossenschaft (SCE),German,Europäische Genossenschaft (SCE),SCE,ELF v1.5
8XDW,Austria,Austria,,Genossenschaft,German,Genossenschaft,Genossenschaft,ELF v1.5
AAL7,Austria,Austria,,Kommandit-Erwerbsgesellschaft,German,Kommandit-Erwerbsgesellschaft,KEG,ELF v1.5
AXSB,Austria,Austria,,Gesellschaft mit beschränkter Haftung,German,Gesellschaft mit beschränkter Haftung,GmbH,ELF v1.5
AXSB,Austria,Austria,,Gesellschaft mit beschränkter Haftung,German,Gesellschaft mit beschränkter Haftung,Ges.m.b.H.,ELF v1.5
CAQ1,Austria,Austria,,Versicherungsverein auf Gegenseitigkeit,German,Versicherungsverein auf Gegenseitigkeit,Versicherungsverein auf Gegenseitigkeit,ELF v1.5
DM88,Austria,Austria,,Europäische wirtschaftliche Interessenvereinigung,German,Europäische wirtschaftliche Interessenvereinigung,Europäische wirtschaftliche Interessenvereinigung,ELF v1.5
DX6Z,Austria,Austria,,Verein,German,Verein,Verein,ELF v1.5
E9OX,Austria,Austria,,Gemeinnützige Stiftung,German,Gemeinnützige Stiftung,Gemeinnützige Stiftung,ELF v1.5
ECWU,Austria,Austria,,Einzelunternehmer,German,Einzelunternehmer,EU,ELF v1.5
EQOV,Austria,Austria,,Aktiengesellschaft,German,Aktiengesellschaft,AG,ELF v1.5
G3R6,Austria,Austria,,Einzelkaufmann,German,Einzelkaufmann,Einzelkaufmann,ELF v1.5
GVPD,Austria,Austria,,Offene Handelsgesellschaft,German,Offene Handelsgesellschaft,OHG,ELF v1.5
JJYT,Austria,Austria,,Körperschaft öffentlichen Rechts,German,Körperschaft öffentlichen Rechts,Körperschaft öffentlichen Rechts,ELF v1.5
JQOI,Austria,Austria,,Sparkasse,German,Sparkasse,Sparkasse,ELF v1.5
JTAV,Austria,Austria,,Offene Gesellschaft,German,Offene Gesellschaft,OG,ELF v1.5
JUHG,Austria,Austria,,Offene Erwerbsgesellschaft,German,Offene Erwerbsgesellschaft,OEG,ELF v1.5
NIJH,Austria,Austria,,Erwerbs- und Wirtschaftsgenossenschaft,German,Erwerbs- und Wirtschaftsgenossenschaft,Erwerbs- und Wirtschaftsgenossenschaft,ELF v1.5
NNLI,Austria,Austria,,stille Gesellschaft,German,stille Gesellschaft,stG,ELF v1.5
O65B,Austria,Austria,,Europäische Gesellschaft (SE),German,Europäische Gesellschaft (SE),SE,ELF v1.5
ONF1,Austria,Austria,,Kommanditgesellschaft,German,Kommanditgesellschaft,KG,ELF v1.5
UI81,Austria,Austria,,Gesellschaft des bürgerlichen Rechts,German,Gesellschaft des bürgerlichen Rechts,GesbR,ELF v1.5
52TH,Azerbaijan,Azerbaijan,,Törəmə təsərrüfat cəmiyyəti,Azerbaijani ,Törəmə təsərrüfat cəmiyyəti,Törəmə təsərrüfat cəmiyyəti,ELF v1.5
6JHZ,Azerbaijan,Azerbaijan,,Məhdud məsuliyyətli cəmiyyəti,Azerbaijani ,Məhdud məsuliyyətli cəmiyyəti,MMC,ELF v1.5
DWEA,Azerbaijan,Azerbaijan,,Kooperativlər,Azerbaijani ,Kooperativlər,Kooperativlər,ELF v1.5
HKL3,Azerbaijan,Azerbaijan,,Əlavə məsuliyyətli cəmiyyət,Azerbaijani ,Əlavə məsuliyyətli cəmiyyət,Əlavə məsuliyyətli cəmiyyət,ELF v1.5
K81Q,Azerbaijan,Azerbaijan,,Açıq səhmdar cəmiyyəti,Azerbaijani ,Açıq səhmdar cəmiyyəti,ASC,ELF v1.5
M4LU,Azerbaijan,Azerbaijan,,Qapalı səhmdar cəmiyyəti,Azerbaijani ,Qapalı səhmdar cəmiyyəti,QSC,ELF v1.5
MEJT,Azerbaijan,Azerbaijan,,Tam ortaqlıq,Azerbaijani ,Tam ortaqlıq,Tam ortaqlıq,ELF v1.5
PITR,Azerbaijan,Azerbaijan,,Hüquqi şəxslərin ittifaqları,Azerbaijani ,Hüquqi şəxslərin ittifaqları,Hüquqi şəxslərin ittifaqları,ELF v1.5
SLXJ,Azerbaijan,Azerbaijan,,Asılı təsərrüfat cəmiyyəti,Azerbaijani ,Asılı təsərrüfat cəmiyyəti,Asılı təsərrüfat cəmiyyəti,ELF v1.5
TD56,Azerbaijan,Azerbaijan,,Komandit ortaqlıq,Azerbaijani ,Komandit ortaqlıq,Komandit ortaqlıq,ELF v1.5
U0SP,Azerbaijan,Azerbaijan,,İctimai birliklər,Azerbaijani ,İctimai birliklər,İctimai birliklər,ELF v1.5
ZD74,Azerbaijan,Azerbaijan,,Fondlar,Azerbaijani ,Fondlar,Fondlar,ELF v1.5
1W6I,Bahamas,The Bahamas,,Limited Liability Partnership,English,Limited Liability Partnership,LLP,ELF v1.5
78QF,Bahamas,The Bahamas,,Partnership,English,Partnership,Partnership,ELF v1.5
98A8,Bahamas,The Bahamas,,Company Limited by Shares,English,Company Limited by Shares,Ltd,ELF v1.5
A9N4,Bahamas,The Bahamas,,International Business Company,English,International Business Company,International Business Company,ELF v1.5
DAEG,Bahamas,The Bahamas,,Unlimited Liability Company,English,Unlimited Liability Company,Unlimited Liability Company,ELF v1.5
HNSU,Bahamas,The Bahamas,,Public Company Limited by Shares,English,Public Company Limited by Shares,Ltd,ELF v1.5
HP0B,Bahamas,The Bahamas,,Company Limited both by Shares and by Guarantee,English,Company Limited both by Shares and by Guarantee,Ltd,ELF v1.5
PB7W,Bahamas,The Bahamas,,Company Limited by Guarantee,English,Company Limited by Guarantee,Ltd,ELF v1.5
PICJ,Bahamas,The Bahamas,,Non-Profit Company,English,Non-Profit Company,Non-Profit Company,ELF v1.5
SQ8U,Bahamas,The Bahamas,,Exempted Limited Partnership,English,Exempted Limited Partnership,Exempted Limited Partnership,ELF v1.5
VVOW,Bahamas,The Bahamas,,Foundation,English,Foundation,Foundation,ELF v1.5
XDKS,Bahamas,The Bahamas,,Sole Proprietor,English,Sole Proprietor,Sole Proprietor,ELF v1.5
2MAO,Bahrain,Bahrain,,الشركة غير هادفة للربح,Arabic,Alsharikat ghayr hadifat lilribih,الشركة غير هادفة للربح,ELF v1.5
2MAO,Bahrain,Bahrain,,الشركة غير هادفة للربح,Arabic,Alsharikat ghayr hadifat lilribih,Alsharikat ghayr hadifat lilribih,ELF v1.5
990B,Bahrain,Bahrain,,وصية الشراكة من قبل شركة الأسهم (شركة التوصية بالأسهم),Arabic,Wasiat alshirakat min qibal sharikat al'ashum,وصية الشراكة من قبل شركة الأسهم (شركة التوصية بالأسهم),ELF v1.5
990B,Bahrain,Bahrain,,وصية الشراكة من قبل شركة الأسهم (شركة التوصية بالأسهم),Arabic,Wasiat alshirakat min qibal sharikat al'ashum,Wasiat alshirakat min qibal sharikat al'ashum,ELF v1.5
JNJI,Bahrain,Bahrain,,الشركة ذات المسؤولية المحدودة,Arabic,Sharika That Almasuliah Almahduda,ذ.م.م,ELF v1.5
SRQE,Bahrain,Bahrain,,شركة التوصية البسيطة للشراكة (شركة التوصية البسيطة),Arabic,Sharikat altawsiat albasitat lilshiraka,شركة التوصية البسيطة للشراكة (شركة التوصية البسيطة),ELF v1.5
SRQE,Bahrain,Bahrain,,شركة التوصية البسيطة للشراكة (شركة التوصية البسيطة),Arabic,Sharikat altawsiat albasitat lilshiraka,Sharikat altawsiat albasitat lilshiraka,ELF v1.5
SWH1,Bahrain,Bahrain,,شركة تضامن,Arabic,Sharikat tadamun,شركة تضامن,ELF v1.5
SWH1,Bahrain,Bahrain,,شركة تضامن,Arabic,Sharikat tadamun,Sharikat tadamun,ELF v1.5
2T7B,Barbados,Barbados,,society with restricted liability,English,society with restricted liability,SRL,ELF v1.5
5IL6,Barbados,Barbados,,sole proprietorship,English,sole proprietorship,sole proprietorship,ELF v1.5
7FCS,Barbados,Barbados,,partnership,English,partnership,partnership,ELF v1.5
EKJG,Barbados,Barbados,,segregated cell company,English,segregated cell company,segregated cell company,ELF v1.5
HTBY,Barbados,Barbados,,company,English,company,ltd.,ELF v1.5
HTBY,Barbados,Barbados,,company,English,company,corp.,ELF v1.5
HTBY,Barbados,Barbados,,company,English,company,inc.,ELF v1.5
KYFD,Barbados,Barbados,,non-profit company,English,non-profit company,non-profit company,ELF v1.5
Q9Y1,Barbados,Barbados,,international business company,English,international business company,international business company,ELF v1.5
T4KB,Barbados,Barbados,,association,English,association,association,ELF v1.5
TEPY,Barbados,Barbados,,public company,English,public company,ltd.,ELF v1.5
TEPY,Barbados,Barbados,,public company,English,public company,corp.,ELF v1.5
TEPY,Barbados,Barbados,,public company,English,public company,inc.,ELF v1.5
X2X1,Barbados,Barbados,,limited partnership,English,limited partnership,limited partnership,ELF v1.5
106J,Belarus,Belarus,,Закрытае акцыянернае таварыства,Belarusian,Zakrytae akcyyanernae tavarystva,ЗАТ,ELF v1.5
106J,Belarus,Belarus,,Закрытае акцыянернае таварыства,Belarusian,Zakrytae akcyyanernae tavarystva,ZAT,ELF v1.5
106J,Belarus,Belarus,,Закрытое акционерное общество,Russian,Zakrytoe akcionernoe obshchestvo,ЗАО,ELF v1.5
106J,Belarus,Belarus,,Закрытое акционерное общество,Russian,Zakrytoe akcionernoe obshchestvo,ZAО,ELF v1.5
9X63,Belarus,Belarus,,Унітарнае прадпрыемства,Belarusian,Unіtarnae pradpryemstva,УП,ELF v1.5
9X63,Belarus,Belarus,,Унітарнае прадпрыемства,Belarusian,Unіtarnae pradpryemstva,UP,ELF v1.5
9X63,Belarus,Belarus,,Унитарное предприятие,Russian,Unitarnoe predpriyatie,УП,ELF v1.5
9X63,Belarus,Belarus,,Унитарное предприятие,Russian,Unitarnoe predpriyatie,UP,ELF v1.5
AABD,Belarus,Belarus,,Таварыства з абмежаванай адказнасцю,Belarusian,Tavarystva z abmezhavanaj adkaznascyu,ТАА,ELF v1.5
AABD,Belarus,Belarus,,Общество с ограниченной ответственностью,Russian,Obshchestvo s ogranichennoj otvetstvennost'yu,ООО,ELF v1.5
JLR3,Belarus,Belarus,,Таварыства з дадатковай адказнасцю,Belarusian,Tavarystva z dadatkovaj adkaznascyu,ТДА,ELF v1.5
JLR3,Belarus,Belarus,,Таварыства з дадатковай адказнасцю,Belarusian,Tavarystva z dadatkovaj adkaznascyu,ТDA,ELF v1.5
JLR3,Belarus,Belarus,,Общество с дополнительной ответственностью,Russian,Obshchestvo s dopolnitel'noj otvetstvennost'yu,ОДО,ELF v1.5
JLR3,Belarus,Belarus,,Общество с дополнительной ответственностью,Russian,Obshchestvo s dopolnitel'noj otvetstvennost'yu,ODO,ELF v1.5
MR85,Belarus,Belarus,,Адкрытае акцыянернае таварыства,Belarusian,Adkrytae akcyyanernae tavarystva,ААТ,ELF v1.5
MR85,Belarus,Belarus,,Адкрытае акцыянернае таварыства,Belarusian,Adkrytae akcyyanernae tavarystva,AAT,ELF v1.5
MR85,Belarus,Belarus,,Открытое акционерное общество,Russian,Otkrytoe akcionernoe obshchestvo,ОАО,ELF v1.5
1TX8,Belgium,Belgium,,Commanditaire vennootschap op aandelen met een sociaal oogmerk,Dutch,Commanditaire vennootschap op aandelen met een sociaal oogmerk,CVA SO,ELF v1.5
1TX8,Belgium,Belgium,,Société en commandite par actions à finalité sociale,French,Société en commandite par actions à finalité sociale,SCA FS,ELF v1.5
1TX8,Belgium,Belgium,,Kommanditgesellschaft auf Aktien mit sozialer Zielsetzung,German,Kommanditgesellschaft auf Aktien mit sozialer Zielsetzung,KGaAmsZ,ELF v1.5
28FE,Belgium,Belgium,,Coöperatieve vennootschap,Dutch,Coöperatieve vennootschap,CV,ELF v1.5
28FE,Belgium,Belgium,,Société coopérative,French,Société coopérative,SC,ELF v1.5
28FE,Belgium,Belgium,,Genossenschaft,German,Genossenschaft,Gen.,ELF v1.5
2QSA,Belgium,Belgium,,Coöperatieve vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk,Dutch,Coöperatieve vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk,CVBA SO,ELF v1.5
2QSA,Belgium,Belgium,,Société coopérative à responsabilité limitée à finalité sociale,French,Société coopérative à responsabilité limitée à finalité sociale,SCRL FS,ELF v1.5
2QSA,Belgium,Belgium,,Genossenschaft mit beschränkter Haftung mit sozialer Zielsetzung,German,Genossenschaft mit beschränkter Haftung mit sozialer Zielsetzung,GbHsZ,ELF v1.5
36KV,Belgium,Belgium,,Europese vennootschap (Societas Europaea),Dutch,Europese vennootschap (Societas Europaea),SE,ELF v1.5
36KV,Belgium,Belgium,,Société européenne (Societas Europaea),French,Société européenne (Societas Europaea),SE,ELF v1.5
36KV,Belgium,Belgium,,Europäische Gesellschaft (Societas Europaea),German,Europäische Gesellschaft (Societas Europaea),SE,ELF v1.5
3N94,Belgium,Belgium,,Onderneming-natuurlijk persoon,Dutch,Onderneming-natuurlijk persoon,ONP,ELF v1.5
3N94,Belgium,Belgium,,Entreprise personne physique,French,Entreprise personne physique,EPP,ELF v1.5
3N94,Belgium,Belgium,,Unternehmen natürliche Person,German,Unternehmen natürliche Person,UNP,ELF v1.5
3W7E,Belgium,Belgium,,Besloten Vennootschap,Dutch,Besloten Vennootschap,BV,ELF v1.5
3W7E,Belgium,Belgium,,Société à responsabilité limitée,French,Société à responsabilité limitée,SRL,ELF v1.5
3W7E,Belgium,Belgium,,Gesellschaft mit beschränkter Haftung,German,Gesellschaft mit beschränkter Haftung,GmbH,ELF v1.5
4E5P,Belgium,Belgium,,Coöperatieve vennootschap met onbeperkte aansprakelijkheid met een sociaal oogmerk,Dutch,Coöperatieve vennootschap met onbeperkte aansprakelijkheid met een sociaal oogmerk,CVOA SO,ELF v1.5
4E5P,Belgium,Belgium,,Société coopérative à responsabilité illimitée à finalité sociale,French,Société coopérative à responsabilité illimitée à finalité sociale,SCRI FS,ELF v1.5
4E5P,Belgium,Belgium,,Genossenschaft mit unbeschränkter Haftung mit sozialer Zielsetzung,German,Genossenschaft mit unbeschränkter Haftung mit sozialer Zielsetzung,GuHsZ,ELF v1.5
7SJP,Belgium,Belgium,,Europees economisch samenwerkingsverband,Dutch,Europees economisch samenwerkingsverband,EESV,ELF v1.5
7SJP,Belgium,Belgium,,Groupement européen d'intérêt économique,French,Groupement européen d'intérêt économique,GEIE,ELF v1.5
7SJP,Belgium,Belgium,,Europäische wirtschaftliche Interessenvereinigung,German,Europäische wirtschaftliche Interessenvereinigung,EWIV,ELF v1.5
8E2A,Belgium,Belgium,,Coöperatieve vennootschap met beperkte aansprakelijkheid,Dutch,Coöperatieve vennootschap met beperkte aansprakelijkheid,CVBA,ELF v1.5
8E2A,Belgium,Belgium,,Société coopérative à responsabilité limitée,French,Société coopérative à responsabilité limitée,SCRL,ELF v1.5
8E2A,Belgium,Belgium,,Genossenschaft mit beschränkter Haftung,German,Genossenschaft mit beschränkter Haftung,Gen.mbH,ELF v1.5
8YLB,Belgium,Belgium,,Instelling zonder winstoogmerk,Dutch,Instelling zonder winstoogmerk,IZW,ELF v1.5
8YLB,Belgium,Belgium,,Institution sans but lucratif,French,Institution sans but lucratif,ISBL,ELF v1.5
8YLB,Belgium,Belgium,,Einrichtung ohne Gewinnerzielungsabsicht,German,Einrichtung ohne Gewinnerzielungsabsicht,EoG,ELF v1.5
B910,Belgium,Belgium,,Vennootschap onder firma met een sociaal oogmerk,Dutch,Vennootschap onder firma met een sociaal oogmerk,VOF SO,ELF v1.5
B910,Belgium,Belgium,,Société en nom collectif à finalité sociale,French,Société en nom collectif à finalité sociale,SNC FS,ELF v1.5
B910,Belgium,Belgium,,Offene Handelsgesellschaft mit sozialer Zielsetzung,German,Offene Handelsgesellschaft mit sozialer Zielsetzung,OHGmsZ,ELF v1.5
C609,Belgium,Belgium,,Eenpersoons besloten vennootschap met beperkte aansprakelijkheid,Dutch,Eenpersoons besloten vennootschap met beperkte aansprakelijkheid,EBVBA,ELF v1.5
C609,Belgium,Belgium,,Société privée à responsabilité limitée unipersonnelle,French,Société privée à responsabilité limitée unipersonnelle,SPRLU,ELF v1.5
C609,Belgium,Belgium,,Privatgesellschaft mit beschränkter Haftung mit einem Alleingesellschafter,German,Privatgesellschaft mit beschränkter Haftung mit einem Alleingesellschafter,PGmbHmA,ELF v1.5
CFH5,Belgium,Belgium,,Vennootschap of vereniging zonder rechtspersoonlijkheid,Dutch,Vennootschap of vereniging zonder rechtspersoonlijkheid,VVZRL,ELF v1.5
CFH5,Belgium,Belgium,,Société ou association sans personnalité juridique,French,Société ou association sans personnalité juridique,SASPJ,ELF v1.5
CFH5,Belgium,Belgium,,Gesellschaften oder Vereinigungen ohne Rechtspersönlichkeit,German,Gesellschaften oder Vereinigungen ohne Rechtspersönlichkeit,GVoRP,ELF v1.5
EDMK,Belgium,Belgium,,Vereniging zonder winstoogmerk van publiek recht,Dutch,Vereniging zonder winstoogmerk van publiek recht,VZW PR,ELF v1.5
EDMK,Belgium,Belgium,,Association sans but lucratif de droit public,French,Association sans but lucratif de droit public,ASBL DPU,ELF v1.5
EDMK,Belgium,Belgium,,Öffentlich-rechtliche Vereinigung ohne Gewinnerzielungsabsicht,German,Öffentlich-rechtliche Vereinigung ohne Gewinnerzielungsabsicht,ÖrVohGza,ELF v1.5
EXY8,Belgium,Belgium,,"Coöperatieve vennootschap met onbeperkte aansprakelijkheid, bij wijze van deelneming van publiek recht",Dutch,"Coöperatieve vennootschap met onbeperkte aansprakelijkheid, bij wijze van deelneming van publiek recht",CVOA CD,ELF v1.5
EXY8,Belgium,Belgium,,"Coopérative à responsabilité illimitée, coopérative de participation, de droit public",French,"Coopérative à responsabilité illimitée, coopérative de participation, de droit public",SCRI CP,ELF v1.5
