Name,Name clean,GCAP ID,Website,LEI (if applicable),Country of HQ,UN Region,Parent company (if applicable),Annual Revenue in USD (if applicable),Type,Sector (if applicable),Assets Under Mgt. (if financial institution),Join Date (DD/MM/YYYY),Where did they publish in 2022?,Where did they publish in 2023?,Partner comment,Partner comment (Sep-24),Update round,Business Declares,Cities Race to Zero,Climate Action Accelerator,Exponential Roadmap Iniative,Fashion Industry Charter for Climate Action,Health Care without Harm,International Wineries for Climate Action (IWCA),Japan Climate Initiative (JCI),National Parks UK,Net Zero Asset Managers Initiative,Net Zero Banking Alliance,Net Zero Investment Consultants (NZIC),Net-Zero Asset Owner Alliance (NZAOA),Net-Zero Export Credit Agencies Alliance (NZECA),Paris Aligned Asset Owners (PAAO),Planet Mark,Pledge to Net Zero,Race to Zero for Universities and Colleges,SBTi,Scotch Whisky Association (SWA),SME Climate Hub,Sports for Climate Action Framework,Tech Zero,The Exchange Group - Net Zero Financial Services Providers Alliance Exchange Group (NZFSPA),Under 2 Coalition,Venture Climate Alliance (VCA)
Consumer-Led Movement,consumer-led movement,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,21/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Gaia Learning,gaia learning,,http://www.gaialearning.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,21/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Global Supply Chain Classroom,global supply chain classroom,,https://gscclass.com/,,Canada,Western European and Others Group (WEOG),,,Higher Education,,,21/02/2023,Did not - joined less than 12 months ago,,,,Mar-24,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,
INFRACO LLP,infraco,,https://www.infraco-consulting.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,21/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
James Wark Ltd,james wark,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,21/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Learn English in Berlin,learn english berlin,,http://englishonline.training,,Germany,Western European and Others Group (WEOG),,,SME,Services,,21/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Vectis Refrigeration Ltd,vectis refrigeration,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,21/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
VERMILE,vermile,,http://vermile.com,,Greece,Western European and Others Group (WEOG),,,SME,Services,,21/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Bee@one Coaching,bee@one coaching,GCAP29293,https://beeatone.net,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,21/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Dnkat,dnkat,GCAP29602,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,21/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Encore Marketing Ltd,encore marketing,GCAP29684,"http://www.theatre-for-schools,com",,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,21/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Intrelec Ltd,intrelec,GCAP30020,https://intrelec.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,21/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
John McAslan + Partners,john mcaslan + partners,GCAP30062,https://www.mcaslan.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,21/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Leondavies.co.uk,leondavies.co.uk,GCAP24647,http://www.leondavies.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,21/02/2022,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
mrkmedical,mrkmedical,GCAP30301,https://mrkmedical.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,21/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
PT. Evantama Network System,pt. evantama network system,GCAP30519,https://www.ens-id.com/,,Indonesia,Asia-Pacific Group,,,SME,Other,,21/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Reliable Networks,reliable networks,GCAP30581,http://www.reliablenetworks.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,21/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Confluent Energy,confluent energy,GCAP20023,https://www.confluent.energy,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,21/02/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Emerald Green Environmental Management Services Ltd.,emerald green environmental management services,GCAP20633,https://egems.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,21/02/2021,Own Website,,https://egems.co.uk/race-to-net-zero,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,
Energy Institute,energy institute,GCAP20640,https://www.energyinst.org/,,United Kingdom,Western European and Others Group (WEOG),,,Other,Services,,21/02/2021,Own Website,,https://www.energyinst.org/__data/assets/pdf_file/0004/1018615/2023_02_28_Net-zero-update_FINAL.pdf,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,
ETA Plus GmbH,eta plus,GCAP20066,http://www.etaplus.energy,,Germany,Western European and Others Group (WEOG),,,SME,Other,,21/02/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Greentech International ltd,greentech,GCAP20706,https://greentech.global/,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,21/02/2021,Did not - support needed,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Institute of Environmental Management and Assessment (IEMA),institute environmental management assessment iema,GCAP20738,https://www.iema.net/,,United Kingdom,Western European and Others Group (WEOG),,,Other,Services,,21/02/2021,Own Website,,https://www.iema.net/climate-emergency/our-carbon-footprint/iemas-ghg-emission-targets,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,
Jemus Investments limited Company,jemus investments,,https://jlifcl.com/author/mukururo,,Kenya,African Group,,,SME,"Food, beverage & agriculture",,21/02/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
onePlanet Solutions Limited,oneplanet solutions,GCAP20841,https://emsmastery.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,21/02/2021,Own Website,,https://emsmastery.com/2023/01/30/what-is-my-companys-carbon-footprint-report-for-2021-2022/,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,
WSP UK Limited,wsp,GCAP21013,https://www.wsp.com/en-gb,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,21/02/2021,Own Website,,https://www.wsp.com/en-gb/campaigns/esg-uk-update,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,
Global Spiced BV,global spiced,,https://wearespiced.com/,NL856204493B01,Netherlands,Western European and Others Group (WEOG),,,SME,Manufacturing - Food and beverages,,21/01/2024,Did not - joined less than 12 months ago,,,,Apr-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Agilino Furmanczuk,agilino furmanczuk,,https://agilino.app,,Switzerland,Western European and Others Group (WEOG),,,SME,Services,,21/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Jürgen Sicher Consulting,jürgen sicher consulting,,,,Austria,Western European and Others Group (WEOG),,,SME,Services,,21/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Avery & Brown,avery brown,GCAP23040,https://www.averyandbrown.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,21/01/2022,Own Website,,Also report via Planet Mark: https://www.planetmark.com/member/avery-brown/,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Blueearth Investments and Merchandise LLC,blueearth investments merchandise,GCAP29329,http://https/instagram/Mby_wealthmakers1,,United States of America,Western European and Others Group (WEOG),,,SME,Other,,21/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Cenlub Industries Ltd.,cenlub industries,GCAP29437,http://www.Cenlub.in,,India,Asia-Pacific Group,,,SME,Other,,21/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Eco Flooring USA LLC,eco flooring usa,GCAP29644,http://www.ecoflooringusa.com,,United States of America,Western European and Others Group (WEOG),,,SME,Infrastructure,,21/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
ECO Stake,eco stake,GCAP29646,http://www.ecostake.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,21/01/2022,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Ecofric AS,ecofric,GCAP29651,http://www.ecofric.com,,Norway,Western European and Others Group (WEOG),,,SME,Services,,21/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
GFirst LEP,gfirst lep,GCAP29819,http://www.gfirstlep.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,21/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Leah Turney Design LLC,leah turney design,GCAP30147,http://www.leahturney0@gmail.com,,United States of America,Western European and Others Group (WEOG),,,SME,Other,,21/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Organo Et School,organo school,GCAP30407,,,India,Asia-Pacific Group,,,SME,Other,,21/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
OSL Risk Management,osl risk management,,http://Www.oslriskmanagement.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,21/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Postal Graphics,postal graphics,GCAP30490,,,United States of America,Western European and Others Group (WEOG),,,SME,Other,,21/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Thackray Brown,thackray brown,GCAP30843,http://www.thackraybrown.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,21/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
The Frank Impact Company,frank impact,GCAP30866,http://thefrankco.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,21/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Thomas Safety Services Ltd,thomas safety services,GCAP30907,https://www.thomassafetyservices.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,21/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Tribepad,tribepad,GCAP20392,http://www.tribepad.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,21/01/2022,Did not - support needed,Own Website,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,
Turner Iceni Ltd,turner iceni,GCAP30961,http://www.turnericeni.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Power generation,,21/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Universidad de Costa Rica,universidad costa rica,GCAP30985,https://www.ucr.ac.cr/,,Costa Rica,Latin American and Caribbean Group (GRULAC),,,Higher Education,,,21/01/2022,Did not - joined less than 12 months ago,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
"Verve Creative, LLC",verve creative,GCAP31032,http://vervecreative.com,,United States of America,Western European and Others Group (WEOG),,,SME,Other,,21/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Aberystwyth University,aberystwyth university,,https://www.aber.ac.uk/en/,,United Kingdom,Western European and Others Group (WEOG),,,Higher Education,,,21/01/2021,Own Website,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
Red-Inc,red-inc,GCAP20288,http://www.red-inc.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,21/01/2021,Own Website,,"Actions taken: https://www.red-inc.com/sustainability/ , awaiting published data on emissions",,,Yes,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,
Reliable Parking Management Ltd,reliable parking management,,http://www.reliableparkingmanagement.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Wren Healthcare,wren healthcare,GCAP20432,http://www.wrenhealthcare.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,21/01/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Fondita Fund Management Company,fondita fund management,GCAP29774,https://fondita.com/,,Finland,Western European and Others Group (WEOG),,,Financial Institution,,,20/12/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Naviguera,naviguera,GCAP33152,https://navigareventures.com/,,Sweden,Western European and Others Group (WEOG),,,Financial Institution,,,20/04/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Ainhoa Bio Peru S.A.C,ainhoa bio peru s.a.c,,http://www.ainhoabio.pe,20606320320,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Manufacturing - Other,,20/12/2023,Did not - joined less than 12 months ago,,,,Apr-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Dirty Looks,dirty looks,,http://www.dirtylooks.co.uk,22/4/21911,United Kingdom,Western European and Others Group (WEOG),,,SME,Other commercial service activities,,20/12/2023,Did not - joined less than 12 months ago,,,,Apr-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
JG Fenn,jg fenn,,no_website,3/5/2175,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,20/12/2023,Did not - joined less than 12 months ago,,,,Apr-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
"Nanjing Lesu Co., Ltd.",nanjing lesu,,no_website,91320105MAC00RKU5N,China,Asia-Pacific Group,,,SME,Retail and wholesale,,20/12/2023,Did not - joined less than 12 months ago,,,,Apr-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
CREATIVEMODE LIMITED,creativemode,,https://creativemode.co,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,20/12/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Holm Bay,holm bay,,http://www.holmbay.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,20/12/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Regency Research,regency research,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/12/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Achmea,achmea,GCAP16393,https://www.achmea.nl/,s,Netherlands,Western European and Others Group (WEOG),,,Financial Institution,,,20/12/2021,Other,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Agri Living (Pty) Ltd,agri living,GCAP29140,http://www.agriliving.net,,South Africa,African Group,,,SME,Other,,20/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
AWW,aww,GCAP29251,https://aww-uk.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,20/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Harris Associates (South West) Limited,harris associates south west,,https://harrisassociates.biz,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
PinpointMe,pinpointme,GCAP30469,http://www.PinpointMe.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Pudsey Road Fisheries,pudsey road fisheries,GCAP30523,https://www.facebook.com/PudseyRoadFisheries,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Somoudi Limited,somoudi,GCAP30720,http://sltraining.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Southampton Football Club,southampton football club,,https://www.southamptonfc.com/news/2021-01-26/southampton-fc-join-unfccc-sports-for-climate-action-initiative,,United Kingdom,Western European and Others Group (WEOG),,,Other,Sports,,20/12/2021,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
Sovcombank,sovcombank,GCAP30724,https://sovcombank.ru,,Russia,Eastern European Group,,,Financial Institution,,$15.48 billion,20/12/2021,Own Website,Own Website,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
The Deeside Water Company,deeside water,GCAP30855,http://www.deesidewater.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
The Green Sprint,green sprint,GCAP30871,https://thegreensprint.com/,,Netherlands,Western European and Others Group (WEOG),,,SME,Other,,20/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Vicinay Sestao,vicinay sestao,GCAP31036,,,Spain,Western European and Others Group (WEOG),,,SME,Other,,20/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Curating Tomorrow,curating tomorrow,GCAP16647,http://www.curatingtomorrow.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,20/12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Invivo Healthcare,invivo healthcare,GCAP18072,https://invivohealthcare.com/,,United Kingdom,Western European and Others Group (WEOG),,,Company,"Biotech, health care & pharma",,20/12/2019,Own Website,,https://invivohealthcare.com/our-sustainability/ They are in the process of creating a new impact report that includes chapters on how they plan to meet their net zero target.,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,
4GOOD,4good,,https://weare4good.co.uk/,13/12/40682,United Kingdom,Western European and Others Group (WEOG),,,SME,Tourism and hospitality,,20/11/2023,Did not - joined less than 12 months ago,,,,Apr-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
QALIA,qalia,,https://qalia.org,,France,Western European and Others Group (WEOG),,,SME,Tourism and hospitality,,20/11/2023,Did not - joined less than 12 months ago,,,,Apr-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Verita Consultancy Limited,verita consultancy,,http://www.verita.net,21/3/30660,United Kingdom,Western European and Others Group (WEOG),,,SME,Health care and services,,20/11/2023,Did not - joined less than 12 months ago,,,,Apr-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Viva Esprit Limited,viva esprit,,http://vivaesprit.com,865028124,United Kingdom,Western European and Others Group (WEOG),,,SME,Tourism and hospitality,,20/11/2023,Did not - joined less than 12 months ago,,,,Apr-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
El Lodge Taos,el lodge taos,,http://www.tillthekfelloff.com,,United States of America,Western European and Others Group (WEOG),,,SME,Services,,20/11/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Glartique Ltd,glartique,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/11/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Tonga National Basketball Association,tonga national basketball,,www.basketballtonga.com,,Tonga,Asia-Pacific Group,,,Other,,,20/11/2022,Did not - joined less than 12 months ago,,,,Mar-24,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
IDM Safety Solutions,idm safety solutions,GCAP29966,http://www.idmsafetysolutions.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Koolmill Systems Limited,koolmill systems,GCAP30112,http://www.koolmill.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Magway Limited,magway,GCAP20199,https://www.magway.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Transportation services,,20/11/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,
PlaceChangers Ltd.,placechangers,GCAP30474,http://www.placechangers.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Vishwa Stainless Steel Pvt. Ltd.,vishwa stainless steel,GCAP31042,https://www.vishwastainless.com/,,India,Asia-Pacific Group,,,SME,Other,,20/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Circulor,circulor,GCAP19723,http://www.circulor.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,20/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
CupClub,cupclub,GCAP19724,https://cupclub.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,20/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
elmo,elmo,GCAP19726,http://elmodrive.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Transportation services,,20/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
ENSO LTD,enso,GCAP19727,http://www.ensotyres.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Transportation services,,20/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Queen's University,queen's university,GCAP19918,https://www.queensu.ca/,,Canada,Western European and Others Group (WEOG),,,Higher Education,,,20/11/2020,Own Website,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
Strathmore University,strathmore university,GCAP19483,https://www.strathmore.edu/,,Kenya,African Group,,,Higher Education,,,20/11/2020,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
The Partnering Initiative,partnering initiative,,http://tpiglobal.org,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
American Eagle Outfitters,american eagle outfitters,GCAP17316,https://www.aeo-inc.com/sustainability/,,United States of America,Western European and Others Group (WEOG),,,Company,Apparel,,20/11/2019,CDP,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,
Reserva,reserva,GCAP18592,https://www.usereserva.com/sustentabilidade,,Brazil,Latin American and Caribbean Group (GRULAC),,,Company,Apparel,,20/11/2019,CDP,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
Audley Travel,audley travel,,audleytravel.com,,United Kingdom,Western European and Others Group (WEOG),,,Company,Hospitality,,20/10/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
"Berlin Packaging, LLC",berlin packaging,,"berlinpackaging.com
corporate.berlinpackaging.eu",549300L1HNHO6QOXHH42,United States of America,Western European and Others Group (WEOG),,,Company,Manufacturing,,20/10/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Broadleaf Global,broadleaf global,,https://www.broadleafglobal.net/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,20/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Camper S.L.,camper,,leer.com.mx,,Spain,Western European and Others Group (WEOG),,,Company,Apparel,,20/10/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Fortescue Metals Group Ltd,fortescue metals,,"www.fmgl.com.au https://twitter.com/FortescueNews https://www.linkedin.com/company/fortescue/mycompany/verification/
www.facebook.com/fortescuemetalsgroupltd",529900VEJFORCO6I4826,Australia,Western European and Others Group (WEOG),,,Company,Materials,,20/10/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Forto Logistics SE & Co. KG,forto logistics,,https://forto.com/,,Germany,Western European and Others Group (WEOG),,,Company,Transportation services,,20/10/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Jabil Inc.,jabil,,www.jabil.com,5493000CGCQY2OQU7669,United States of America,Western European and Others Group (WEOG),,,Company,Manufacturing,,20/10/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Krones AG,krones,,https://www.krones.com/en/,529900NY2GSZWWUBW049,Germany,Western European and Others Group (WEOG),,,Company,Manufacturing,,20/10/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
London Metal Exchange,london metal exchange,,lme.com,213800NB8G5VRT1DXC91,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,20/10/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Norsk Gjenvinning,norsk gjenvinning,,norskgjenvinning.no,549300IME7JYC2CZB886,Norway,Western European and Others Group (WEOG),,,Company,Other,,20/10/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
OneTrust,onetrust,,onetrust.com,,United States of America,Western European and Others Group (WEOG),,,Company,Services,,20/10/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Principle Cleaning Services,principle cleaning services,,principleclean.com,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,20/10/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Proyecta Spa,proyecta,GCAP17802,https://www.proyectaimpacto.com/,,Chile,Latin American and Caribbean Group (GRULAC),,,SME,Services,,20/10/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
"Radiate Holdco, LLC",radiate holdco,,https://www.astound.com/?gclid=Cj0KCQjwy5maBhDdARIsAMxrkw1vwjB1THYMdSIPkY_BWb44RdexevZcRWCSpvQ_c8jxGCgVq7ZiOF8aAsJaEALw_wcB&gclsrc=aw.ds,,United States of America,Western European and Others Group (WEOG),,,Company,Services,,20/10/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
RECTICEL,recticel,,recticelinsulation.com,549300R8K43AXHYP5M15,Belgium,Western European and Others Group (WEOG),,,Company,Materials,,20/10/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Regina Miracle International ( Group ) Limited,regina miracle,,http://reginamiracleholdings.com,,China,Asia-Pacific Group,,,Company,Apparel,,20/10/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
REMONDIS A/S,remondis,,https://remondisdanmark.dk/,,Denmark,Western European and Others Group (WEOG),,,Company,Other,,20/10/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Synergy Global Housing,synergy global housing,,synergyhousing.com,,United States of America,Western European and Others Group (WEOG),,,Company,Hospitality,,20/10/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
TRAC Intermodal,trac intermodal,,tracintermodal.com,,United States of America,Western European and Others Group (WEOG),,,Company,Services,,20/10/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Uhuru Corporation,uhuru,,https://uhuru.co.jp/,,Japan,Asia-Pacific Group,,,SME,Services,,20/10/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
WATERBOM BALI,waterbom bali,,waterbom-bali.com,,Indonesia,Asia-Pacific Group,,,SME,Hospitality,,20/10/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
5B,5b,GCAP29097,https://5b.co/,,Australia,Western European and Others Group (WEOG),,,SME,Other,,20/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Arica,arica,GCAP29204,,,Chile,Latin American and Caribbean Group (GRULAC),,,City,,,20/10/2021,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Black Lake UK Limited,black lake,GCAP29317,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
