Name,Name clean,GCAP ID,Website,LEI (if applicable),Country of HQ,UN Region,Parent company (if applicable),Annual Revenue in USD (if applicable),Type,Sector (if applicable),Assets Under Mgt. (if financial institution),Join Date (DD/MM/YYYY),Where did they publish in 2022?,Where did they publish in 2023?,Partner comment,Partner comment (Sep-24),Update round,Business Declares,Cities Race to Zero,Climate Action Accelerator,Exponential Roadmap Iniative,Fashion Industry Charter for Climate Action,Health Care without Harm,International Wineries for Climate Action (IWCA),Japan Climate Initiative (JCI),National Parks UK,Net Zero Asset Managers Initiative,Net Zero Banking Alliance,Net Zero Investment Consultants (NZIC),Net-Zero Asset Owner Alliance (NZAOA),Net-Zero Export Credit Agencies Alliance (NZECA),Paris Aligned Asset Owners (PAAO),Planet Mark,Pledge to Net Zero,Race to Zero for Universities and Colleges,SBTi,Scotch Whisky Association (SWA),SME Climate Hub,Sports for Climate Action Framework,Tech Zero,The Exchange Group - Net Zero Financial Services Providers Alliance Exchange Group (NZFSPA),Under 2 Coalition,Venture Climate Alliance (VCA),Partners
Creative Triangle,creative triangle,,http://www.creativetriangle.co.uk,5961904,United Kingdom,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,13/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Green Business Charter Ltd,green charter,,https://greenbusinesscharter.org/,13785325,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,13/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Menara Construcciones S.A,menara construcciones,,http://www.menara.com.ar,30503826425,Argentina,Latin American and Caribbean Group (GRULAC),,,SME,Construction and civil engineering,,13/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
EcoTile Flooring Ltd,ecotile flooring,,,8483743,United Kingdom,Western European and Others Group (WEOG),,,SME,Other manufacturing,,13/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Millfields Community Economic Development Trust Community Interest Com,millfields economic development com,,https://millfieldstrust.com/,3513202,United Kingdom,Western European and Others Group (WEOG),,,SME,Building services,,13/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Massila Tech UAE,massila tech uae,,,100030392300003,United Arab Emirates,Asia-Pacific Group,,,SME,Telecommunication,,13/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Emusa Sustainable Pvt Ltd,emusa sustainable,,http://www.emusasustainable.com,DIPP115751,India,Asia-Pacific Group,,,SME,Information technology (IT) software and computer related activities,,13/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Pauls Weddings,pauls weddings,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Hotels and similar accommodation,,13/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Integrated Graphene,integrated graphene,,https://www.integratedgraphene.com/,268005606,United Kingdom,Western European and Others Group (WEOG),,,SME,Other manufacturing,,13/06/2023,,Other,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Diesel United LLC,diesel,,https://dieselunited.com,,United States of America,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,12/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Ecosafe Heating Ltd ta Ecosafe Group,ecosafe heating ta ecosafe,,http://www.ecosafegroup.co.uk,180064039,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,12/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Advantage Market Intelligence,advantage market intelligence,,http://www.advantagemi.co.uk,9059228,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,12/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Foundry 3 Ltd,foundry 3,,https://foundry3.agency,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,12/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
clickworker GmbH,clickworker,,,DE246978893,Germany,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,12/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
OXO Group Indonesia,oxo indonesia,,http://oxoliving.com,,Indonesia,Asia-Pacific Group,,,SME,Hotels and similar accommodation,,12/06/2023,,Other,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Select Health Care (UK) Limited,select health care,,,3338847,United Kingdom,Western European and Others Group (WEOG),,,SME,Health and social work,,12/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Forward Green,forward green,,https://www.forwardgreenconsulting.com/,440339613,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,12/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Meijer&Co Kft.,meijer&co,,http://www.meijerandco.com,HU28812766,Hungary,Eastern European Group,,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,12/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
allmansright ultralight gear lab,allmansright ultralight gear lab,,http://www.allmansright.com,85-2688205,United States of America,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,11/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
WPR Agency Limited,wpr agency,,http://www.wpragency.co.uk,2647150,United Kingdom,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,11/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Wise Goose Limited,wise goose,,http://www.wisegoose.co.uk,8113365,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,11/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Sirius Training & Certifications Ltd.,sirius training certifications,,https://1stc.uk/,GB226291808,United Kingdom,Western European and Others Group (WEOG),,,SME,Education,,11/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
OHM Energy,ohm energy,,https://ohmenergy.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Electricity transmission,,11/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Rbc,rbc,,http://www.rbc.com,,India,Asia-Pacific Group,,,SME,Wearing apparel manufacturing,,11/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Invendis Technologies india Pvt Ltd,invendis technologies india,,http://www.invendis.com,U72200KA2007PTC043463,India,Asia-Pacific Group,,,SME,Telecommunication,,10/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Ehfaaz recycling,ehfaaz recycling,,https://ehfaaz.ae/,100468816200003,United Arab Emirates,Asia-Pacific Group,,,SME,Research and development,,09/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
DHAMRA LNG TERMINAL PVT LTD,dhamra lng terminal,,http://www.sourceasy.co.in,,India,Asia-Pacific Group,,,SME,Extraction of crude petroleum and natural gas,,09/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Spill The Bean,spill bean,,,,United Arab Emirates,Asia-Pacific Group,,,SME,Restaurants,,09/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Sanagy Inc.,sanagy,,,,Japan,Asia-Pacific Group,,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,09/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
ForNature Ltd.,fornature,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Research and development,,09/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
RAPID CONTROL DESINFECCION S.L.,rapid control desinfeccion,,https://www.rapidcontrolplagas.com/,B83870931,Spain,Western European and Others Group (WEOG),,,SME,Health and social work,,09/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
INNOVACION AMBIENTAL SAC,innovacion ambiental,,http://www.innovacionambiental.com,20552921857,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Machinery and equipment rental,,09/06/2023,,Did not - support needed,,,Oct-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
MRK Associates,mrk associates,,http://www.mrkassociates.co.uk,4987871,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,09/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
TCL STRUCTURES (UK) LTD,tcl structures,,http://www.tcl-s-ltd.co.uk,7400017,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,09/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
MARCIBUR S.R.L.,marcibur,,http://www.marcibursrl.com.ar,30-59721864-4,Argentina,Latin American and Caribbean Group (GRULAC),,,SME,Metal products manufacturing,,08/06/2023,,Did not - support needed,,,Oct-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
PC Comms Ltd,comms,,https://www.pccomms.net/,4682187,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,08/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Emorsgate Seeds,emorsgate seeds,,http://www.emorsgateseeds.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Agriculture Crops not elsewhere classified,,08/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
CALL LADE ENTERPRISES PTE. LTD.,call lade,,,199204755R,Singapore,Asia-Pacific Group,,,SME,Land transport,,08/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Psynergy Consulting Limited,psynergy consulting,,http://www.psynergy.co.uk,432 1538 24,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,07/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Uhhmami,uhhmami,,http://uhhmami.com,DK40995625,Denmark,Western European and Others Group (WEOG),,,SME,Vegetables fruit nuts agriculture,,07/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
DiCicco Research,dicicco research,,https://www.diciccoresearch.com,,United States of America,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,07/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
VJ Technology,vj technology,,http://www.vjtechnology.com,11254760,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,06/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
ADB SERVICES INTERNATIONAL,adb services,,,,Benin,African Group,,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,06/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
DigitallyAlex,digitallyalex,,https://www.digitallyalex.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,06/06/2023,,Did not - support needed,,,Oct-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
NW Virtual Partners LLC dba EventBuilder,nw virtual partners eventbuilder,,http://www.eventbuilder.rocks,81-2166220,United States of America,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,06/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Premoldeados Bertone,premoldeados bertone,,https://www.premoldeadosbertone.com/,,Argentina,Latin American and Caribbean Group (GRULAC),,,SME,Construction and civil engineering,,06/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Oushaba Limited,oushaba,,,396 3556 51,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,06/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
ArmHug,armhug,,http://ArmHug.com,,United States of America,Western European and Others Group (WEOG),,,SME,Pharmaceutical products manufacturing,,06/06/2023,,Other,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
ibex gale,ibex gale,,http://www.ibexgale.com,179526368,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,06/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Belcan International ltd,belcan,,http://www.belcan.com,GB639519309,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,06/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Anglia Cleaning Services Ltd,anglia cleaning services,,http://www.angliacleaningservices.com,13035570,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,06/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Fox Agency,fox agency,,https://fox.agency,GB993030911,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,06/06/2023,,Other,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
DP Engineering ltd,engineering,,http://www.dpengineeringltd.co.uk,4378564,United Kingdom,Western European and Others Group (WEOG),,,SME,Metal products manufacturing,,06/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Austin Smith Lord Limited,austin smith lord,,http://austinsmithlord.com,11773049,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,05/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
The Tracklement Co Ltd,tracklement,,,328241471,United Kingdom,Western European and Others Group (WEOG),,,SME,Other manufacturing,,05/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Out of the Box Gifts Ltd.,out box gifts,,http://www.outoftheboxgifts.co.uk,10480441,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,05/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
EnviroSolution,envirosolution,,https://envirosolution.co.uk/,6943362,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,05/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
CIME INGENIEROS SRL,cime ingenieros,,https://www.cimeingenieros.com/empresa.php,,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Building services,,05/06/2023,,Did not - support needed,,,Oct-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Castleton Barn,castleton barn,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Research and development,,05/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Rand-Whitney Container,rand-whitney container,,http://www.randwhitney.com,,United States of America,Western European and Others Group (WEOG),,,SME,Paper and paper products manufacturing,,05/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Walking Pictures Ltd.,walking pictures,GCAP31055,http://susiarnott.co.uk,4915107,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,03/06/2023,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
the pastry hub,pastry hub,,,,Greece,Western European and Others Group (WEOG),,,SME,Restaurants,,03/06/2023,,Other,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
CHX Products,chx products,,http://www.chxproducts.co.uk,3308563,United Kingdom,Western European and Others Group (WEOG),,,SME,Basic plastic manufacturing,,02/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Rainbow Yarns,rainbow yarns,,http://Www.rainbowyarns.squarespace.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,02/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Navet Internacional S.A.,navet internacional,,http://www.navetsa.com,,Costa Rica,Latin American and Caribbean Group (GRULAC),,,SME,Retail and wholesale,,02/06/2023,,Other,,,Oct-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
SWG3,swg3,,https://swg3.tv/,221 1731 59,United Kingdom,Western European and Others Group (WEOG),,,SME,Activities of membership organisations,,02/06/2023,,Other,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
K-FERTS LAB,k-ferts lab,,http://kfertslab.com,,India,Asia-Pacific Group,,,SME,Fertiliser manufacturing,,02/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Maconda Ltd,maconda,,https://macondasolutions.com/,GB403956104,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,02/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Diverse Fine Food,diverse fine food,,https://diversefinefood.co.uk/,6167767,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,02/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
SharpFutures,sharpfutures,,http://www.sharpfutures.org.uk,8153185,United Kingdom,Western European and Others Group (WEOG),,,SME,Education,,02/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Practical Sustainability Training,practical sustainability training,,http://www.practicalsustainabilitytraining.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Education,,01/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
RECOLECC,recolecc,,https://recolecc.com.pe/,,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,01/06/2023,,Did not - support needed,,,Oct-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Par Taps,par taps,,http://www.partaps.com.au,45 006 974 947,Australia,Western European and Others Group (WEOG),,,SME,Metal products manufacturing,,01/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Motion Control Products,motion control products,,http://www.motioncontrolproducts.com,651281648,United Kingdom,Western European and Others Group (WEOG),,,SME,Other manufacturing,,01/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Seniors and Juniors INC,seniors juniors,,,,United States of America,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,01/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Big Blue Door,big blue door,,https://www.bigbluedoor.net/,7958927,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,01/06/2023,,Other,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Astor Bannerman (Medical) Ltd,astor bannerman medical,,,GB 630609068,United Kingdom,Western European and Others Group (WEOG),,,SME,Other manufacturing,,01/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Devon Contract Waste Ltd,devon contract waste,,https://www.dcw.co.uk/,3397063,United Kingdom,Western European and Others Group (WEOG),,,SME,Building services,,01/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Itihad Community Management,itihad management,,http://itihad.co.ae,100423027000003,United Arab Emirates,Asia-Pacific Group,,,SME,Real estate activities,,01/06/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
BEINECOO,beinecoo,,,AAR-0983,India,Asia-Pacific Group,,,SME,Other manufacturing,,31/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
IBRIVER ENERGY,ibriver energy,,,,India,Asia-Pacific Group,,,SME,Extraction of crude petroleum and natural gas,,31/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
CRC (Tasktron Limited),tasktron,,https://www.crc-tasktron.co.uk/,529942117,United Kingdom,Western European and Others Group (WEOG),,,SME,Other service activies,,31/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Brook Consultants Inc,brook consultants,,http://Brookvms.com,,United States of America,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,31/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Hullabaloos Lemonade Ltd,hullabaloos lemonade,,http://www.hullabaloos.co.uk,11121768,United Kingdom,Western European and Others Group (WEOG),,,SME,Beverage manufacturing,,31/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Fixfast Ltd,fixfast,,,9481218,United Kingdom,Western European and Others Group (WEOG),,,SME,Other manufacturing,,31/05/2023,,Other,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Valeport Limited,valeport,,https://www.valeport.co.uk/,1950444,United Kingdom,Western European and Others Group (WEOG),,,SME,Other manufacturing,,31/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Good&Proper,good&proper,,http://www.goodandproper.co,640077292,Australia,Western European and Others Group (WEOG),,,SME,,,31/05/2023,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Press & Starkey LLP,press starkey,,http://www.pressandstarkey.com,OC444921,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,31/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
ARMADURAS DE LAS SIERRAS,armaduras las sierras,,,30710957556,Argentina,Latin American and Caribbean Group (GRULAC),,,SME,Building services,,31/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
SOL,sol,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Education,,31/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Farmacias Puntarenas,farmacias puntarenas,,,,Costa Rica,Latin American and Caribbean Group (GRULAC),,,SME,Health and social work,,31/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Nutriplus Foods Pvt Ltd,nutriplus foods,,http://www.simplysatwik.com,,India,Asia-Pacific Group,,,SME,Agriculture Crops not elsewhere classified,,30/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Hayden Tower Company,hayden tower,,http://www.haydentower.com,,United States of America,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,30/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
"Anudal Industrial, slu",anudal industrial,,http://www.anudal.com,B-64348261,Spain,Western European and Others Group (WEOG),,,SME,Metal products manufacturing,,30/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
YEROSA 2017,yerosa 2017,,,,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Other mining and quarrying,,30/05/2023,,Did not - support needed,,,Oct-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Mistletoe Homestay & Art Gallery,mistletoe homestay art gallery,,http://www.%20mistletoemunnar.com,,India,Asia-Pacific Group,,,SME,Hotels and similar accommodation,,30/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Proacts,proacts,,,,Pakistan,Asia-Pacific Group,,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,30/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
TeleResources Engineering (AUST) PTY LTD,teleresources engineering aust,,http://www.teleres.com.au,48093413604,Australia,Western European and Others Group (WEOG),,,SME,Telecommunication,,30/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Social Pantry,pantry,,https://www.socialpantry.co.uk,7654617,United Kingdom,Western European and Others Group (WEOG),,,SME,Restaurants,,30/05/2023,,Other,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
The Kind Table Limited,kind table,,http://www.thekindtable.co.uk,13870220,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,29/05/2023,,Did not - support needed,,,Oct-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Herbolario Ecovital,herbolario ecovital,,http://www.herbolarioecovital.es,52777104z,Spain,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,29/05/2023,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
